,node_1,node_2
14874,53296,1601
14855,53296,38139
14843,53296,52236
14844,53296,8754
14845,53296,22359
14846,53296,14618
14847,53296,53193
14848,53296,44642
14849,53296,25103
14850,53296,18278
14851,53296,49305
14852,53296,30266
14853,53296,6919
14854,53296,38603
14856,53296,49204
14841,53296,17061
14857,53296,15054
14858,53296,19452
14859,53296,37929
14860,53296,35510
14861,53296,5010
14862,53296,20497
14863,53296,23217
14864,53296,39457
14865,53296,17705
14866,53296,29647
14867,53296,37979
14868,53296,9504
14842,53296,39232
14840,53296,35066
14870,53296,44832
14825,53296,40065
14813,53296,49645
14814,53296,18368
14815,53296,11911
14816,53296,43538
14817,53296,34188
14818,53296,54564
14819,53296,13746
14820,53296,28875
14821,53296,3235
14822,53296,37485
14823,53296,17675
14824,53296,2927
14826,53296,35246
14839,53296,1766
14827,53296,39643
14828,53296,48949
14829,53296,52965
14830,53296,15627
14831,53296,45364
14832,53296,39869
14833,53296,14298
14834,53296,41616
14835,53296,13447
14836,53296,8723
14837,53296,53255
14838,53296,29948
14869,53296,46774
14871,53296,2392
14811,53296,34157
14915,53296,53169
14903,53296,4435
14904,53296,5445
14905,53296,7156
14906,53296,3944
14907,53296,53489
14908,53296,25352
14909,53296,34838
14910,53296,13435
14911,53296,10291
14912,53296,36362
14913,53296,9231
14914,53296,22599
14916,53296,44650
14901,53296,33796
14917,53296,30495
14918,53296,8606
14919,53296,49728
14920,53296,27480
14921,53296,28537
14922,53296,45282
14923,53296,54361
14924,53296,54101
14925,53296,21589
14926,53296,21350
14927,53296,34754
14928,53296,10071
14902,53296,18518
14900,53296,51460
14872,53296,40557
14885,53296,28506
14873,53296,27453
14770,53296,30940
14875,53296,28719
14876,53296,25566
14877,53296,45169
14878,53296,48333
14879,53296,37073
14880,53296,30400
14881,53296,45663
14882,53296,49001
14883,53296,46510
14884,53296,32937
14886,53296,14701
14899,53296,52816
14887,53296,2408
14888,53296,34674
14889,53296,24085
14890,53296,52587
14891,53296,40785
14892,53296,48229
14893,53296,49187
14894,53296,36677
14895,53296,11684
14896,53296,44761
14897,53296,5048
14898,53296,16410
14812,53296,33304
14810,53296,20456
14930,53296,2032
14726,53296,32204
14738,53296,29849
14737,53296,17602
14736,53296,47061
14735,53296,49782
14734,53296,11612
14733,53296,27372
14732,53296,40832
14731,53296,15917
14730,53296,7833
14729,53296,46759
14728,53296,25218
14727,53296,47282
14725,53296,3907
14740,53296,5293
14724,53296,25643
14723,53296,6026
14722,53296,15123
14721,53296,17668
14720,53296,6961
14719,53296,53682
14718,53296,30900
14717,53296,1062
14716,53296,1665
14715,53296,46809
14714,53296,49304
14713,53296,9577
14739,53296,41232
14741,53296,30480
14711,53296,23080
14756,53296,4712
14768,53296,5256
14767,53296,46869
14766,53296,13514
14765,53296,18427
14764,53296,18903
14763,53296,32397
14762,53296,33695
14761,53296,27547
14760,53296,11687
14759,53296,25238
14758,53296,21845
14757,53296,39481
14755,53296,18109
14742,53296,17395
14754,53296,46596
14753,53296,7781
14752,53296,39788
14751,53296,25536
14750,53296,45718
14749,53296,30082
14748,53296,38709
14747,53296,46590
14746,53296,7846
14745,53296,36456
14744,53296,50903
14743,53296,42848
14712,53296,29822
14710,53296,44604
14809,53296,51872
14795,53296,15770
14783,53296,29469
14784,53296,38751
14785,53296,29050
14786,53296,11235
14787,53296,51577
14788,53296,20231
14789,53296,25333
14790,53296,15861
14791,53296,24866
14792,53296,24840
14793,53296,2531
14794,53296,2737
14796,53296,34163
14781,53296,36127
14797,53296,53834
14798,53296,13131
14799,53296,2745
14800,53296,29906
14801,53296,937
14802,53296,29572
14803,53296,27993
14804,53296,17644
14805,53296,25930
14806,53296,14018
14807,53296,26766
14808,53296,9681
14782,53296,46627
14780,53296,26528
14709,53296,31917
14696,53296,20617
14708,53296,51567
14707,53296,30766
14706,53296,19955
14705,53296,20706
14704,53296,41011
14703,53296,50866
14702,53296,19951
14701,53296,4869
14700,53296,18147
14699,53296,4066
14698,53296,26058
14697,53296,38890
14695,53296,40610
14779,53296,53270
14694,53296,49157
14693,53296,42808
14692,53296,40392
14691,53296,4481
14771,53296,31094
14772,53296,43977
14773,53296,25299
14774,53296,46957
14775,53296,5195
14776,53296,52343
14777,53296,36122
14778,53296,15742
14929,53296,18127
14769,53296,27555
25464,1335,29467
25425,1335,1851
25431,1335,2285
25430,1335,6912
25429,1335,7846
25428,1335,8130
25427,1335,37260
25426,1335,46654
25424,1335,8551
25433,1335,5625
25522,1335,38496
25523,1335,43185
25524,1335,30589
25525,1335,44284
25526,1335,30382
25527,1335,19673
25432,1335,21656
25434,1335,53709
25529,1335,40096
