,node_1,node_2
12180,40491,45128
12149,40491,34793
12156,40491,11464
12155,40491,34804
12154,40491,18949
12153,40491,1713
12152,40491,12946
12151,40491,14900
12150,40491,2385
12148,40491,37300
12158,40491,2250
12147,40491,34791
12146,40491,27569
12145,40491,13388
12144,40491,39033
12143,40491,44671
12142,40491,16865
12141,40491,39622
12157,40491,31237
12159,40491,25702
12139,40491,39354
12169,40491,24448
12176,40491,4323
12175,40491,27817
12174,40491,9728
12173,40491,43524
12172,40491,42899
12171,40491,46891
12170,40491,25024
12168,40491,9715
12160,40491,7416
12167,40491,10079
12166,40491,25184
12165,40491,35187
12164,40491,3087
12163,40491,27420
12162,40491,4273
12161,40491,24519
12140,40491,31329
12137,40491,34959
12178,40491,22433
12108,40491,32114
12115,40491,16081
12114,40491,39928
12113,40491,33419
12112,40491,44401
12111,40491,3331
12110,40491,46911
12109,40491,34416
12107,40491,13380
12117,40491,3261
12106,40491,34641
12105,40491,2561
12104,40491,31542
12103,40491,22086
12102,40491,44538
12101,40491,25047
12100,40491,22301
12116,40491,24693
12118,40491,24529
12136,40491,18559
12128,40491,16835
12135,40491,38743
12134,40491,16299
12133,40491,6914
12132,40491,36873
12131,40491,46996
12130,40491,28824
12129,40491,12464
12127,40491,1227
12119,40491,23536
12126,40491,22592
12125,40491,36669
12124,40491,42714
12123,40491,21246
12122,40491,30627
12121,40491,22733
12120,40491,3164
12177,40491,43325
12138,40491,43244
12188,40491,3114
12195,40491,34436
12193,40491,42095
12192,40491,7752
12191,40491,37568
12190,40491,19752
12189,40491,31485
12187,40491,46668
12186,40491,47324
12185,40491,5041
12184,40491,25577
12183,40491,19379
12182,40491,25389
12181,40491,47107
12179,40491,36183
12194,40491,12071
121794,14900,38408
121790,14900,21739
121821,14900,30149
121822,14900,11012
121823,14900,18944
121824,14900,34996
121825,14900,38696
121826,14900,21665
121827,14900,21136
121828,14900,10640
121829,14900,20248
121791,14900,31329
121789,14900,16786
121792,14900,22109
121788,14900,21565
121787,14900,42365
121786,14900,33943
121785,14900,19073
121845,14900,23308
121784,14900,28018
121783,14900,44769
121782,14900,23373
121781,14900,15699
121780,14900,19384
121820,14900,16317
121819,14900,24944
121795,14900,46460
121806,14900,47402
121796,14900,20327
121797,14900,32686
121798,14900,35271
121799,14900,33939
121800,14900,46968
121801,14900,22133
121802,14900,20345
121803,14900,41835
121804,14900,35686
121805,14900,15820
121807,14900,24903
121818,14900,22937
121808,14900,45441
121809,14900,45446
121810,14900,27723
121793,14900,38577
121812,14900,34229
121813,14900,17800
121814,14900,27730
121815,14900,35730
121816,14900,17997
121817,14900,22360
121811,14900,31322
121846,14900,37173
121779,14900,41100
121837,14900,18632
121848,14900,45345
121847,14900,21189
121850,14900,15524
121830,14900,27596
121831,14900,28529
121832,14900,43876
121778,14900,20476
121834,14900,26519
121835,14900,30355
121836,14900,14733
121833,14900,40253
121849,14900,45544
121844,14900,46892
121838,14900,27055
121839,14900,27059
121840,14900,41460
121841,14900,41584
121843,14900,32263
121842,14900,47509
874,85,22075
876,85,43754
875,85,26616
72509,42470,30436
873,85,32395
872,85,29882
72510,42470,12614
870,85,454
72508,42470,34002
72511,42470,40663
871,85,10239
882,85,29361
877,85,20209
878,85,45615
879,85,30853
880,85,44317
881,85,37130
72513,42470,32941
883,85,25506
884,85,16954
885,85,6811
886,85,9016
887,85,1870
888,85,28562
72512,42470,9320
72464,42470,14632
72514,42470,32908
72515,42470,38721
72457,42470,43585
72456,42470,40692
72455,42470,9893
72471,42470,25980
932,85,24130
931,85,18785
930,85,13067
929,85,40688
72458,42470,16662
72459,42470,46474
72460,42470,38062
72461,42470,11410
72462,42470,44648
72463,42470,19070
890,85,30193
72465,42470,20661
72466,42470,18632
72467,42470,25204
72468,42470,15851
72469,42470,8680
72470,42470,20392
72517,42470,37422
72516,42470,15120
889,85,13171
72495,42470,47509
72494,42470,8794
892,85,35845
923,85,35001
922,85,42181
921,85,12347
920,85,41243
919,85,43472
72478,42470,19533
72477,42470,35801
72476,42470,22328
72475,42470,8323
72474,42470,22991
918,85,9506
72473,42470,25183
72496,42470,8641
72497,42470,21499
72498,42470,44511
924,85,818
925,85,6261
926,85,25044
72487,42470,33131
72493,42470,36490
72492,42470,25265
72491,42470,10448
72490,42470,12907
72489,42470,47048
72488,42470,22602
72486,42470,28228
72479,42470,11899
72485,42470,33968
72484,42470,20227
72483,42470,31974
72482,42470,23961
72481,42470,20933
72480,42470,17740
927,85,15175
928,85,29515
72499,42470,3157
900,85,8287
906,85,33504
905,85,12788
904,85,28136
903,85,39961
902,85,8309
901,85,32473
899,85,662
