,node_1,node_2
12026,2003,18838
11983,2003,5828
12044,2003,13476
12043,2003,4678
12042,2003,15722
12041,2003,21864
12040,2003,10768
12039,2003,12185
12038,2003,19017
12037,2003,39073
12036,2003,7152
12035,2003,38596
12034,2003,38910
12033,2003,26686
12032,2003,2736
12031,2003,20930
12030,2003,14875
12029,2003,23613
12028,2003,7509
12027,2003,17982
12025,2003,14226
12024,2003,33850
12023,2003,16519
12045,2003,23718
12046,2003,10923
12047,2003,14103
12059,2003,18885
12068,2003,19396
12067,2003,37687
12066,2003,10494
12065,2003,30468
12064,2003,41236
12063,2003,29937
12062,2003,23519
12061,2003,36670
12060,2003,33045
12058,2003,18548
12048,2003,14262
12057,2003,6068
12056,2003,29922
12055,2003,24519
12054,2003,37211
12053,2003,25836
12052,2003,14415
12051,2003,7821
12050,2003,10467
12049,2003,35771
12022,2003,13455
12021,2003,9220
12020,2003,2726
11985,2003,27169
11994,2003,37442
11993,2003,13188
11992,2003,27170
11991,2003,9084
11990,2003,38863
11989,2003,20481
11988,2003,29836
11987,2003,12626
11986,2003,20259
11984,2003,7407
11996,2003,6777
11973,2003,25252
11974,2003,33610
11975,2003,41133
11976,2003,27070
11977,2003,5327
11978,2003,8457
11979,2003,27848
11980,2003,34990
11981,2003,18112
11995,2003,10426
11997,2003,21342
12019,2003,21065
12009,2003,24765
12018,2003,22227
12017,2003,1092
12016,2003,21521
12015,2003,24398
12014,2003,18987
12013,2003,32825
12012,2003,6638
12011,2003,6318
12010,2003,38394
12008,2003,9838
11998,2003,27363
12007,2003,41665
12006,2003,7428
12005,2003,11331
12004,2003,6472
12003,2003,32088
12002,2003,19133
12001,2003,21668
12000,2003,22468
11999,2003,37778
12069,2003,4668
12070,2003,34599
12071,2003,32901
12078,2003,37253
12072,2003,30481
12081,2003,13983
12080,2003,26318
12079,2003,36793
11982,2003,31056
12077,2003,28523
12075,2003,4189
12074,2003,2176
12076,2003,7702
12073,2003,35015
55665,10426,41454
55721,10426,41238
55720,10426,41236
55719,10426,23241
55660,10426,31876
55661,10426,30339
55662,10426,34990
55663,10426,8369
55664,10426,24166
55717,10426,19387
55718,10426,19388
55723,10426,29942
55716,10426,12711
55715,10426,29407
55714,10426,33045
55713,10426,35491
55712,10426,16894
55711,10426,24519
55722,10426,20980
55659,10426,22784
55666,10426,35516
55732,10426,11819
55738,10426,28534
55739,10426,33098
55740,10426,22227
55741,10426,22428
55736,10426,33088
55735,10426,31540
55734,10426,33419
55733,10426,29789
55731,10426,24490
55658,10426,30514
55730,10426,35015
55729,10426,30481
55728,10426,23590
55727,10426,32901
55726,10426,34599
55725,10426,19396
55724,10426,25865
55657,10426,33610
55710,10426,23401
55668,10426,31056
55667,10426,29822
55689,10426,20919
55687,10426,21521
55686,10426,9084
55685,10426,25244
55684,10426,15690
55683,10426,18321
55682,10426,22047
55681,10426,11331
55680,10426,21668
55679,10426,39994
55678,10426,15996
55677,10426,37778
55670,10426,15823
55676,10426,27363
55675,10426,1092
55674,10426,12941
55671,10426,21653
55672,10426,27169
55688,10426,41347
55690,10426,16519
55669,10426,4356
55691,10426,18838
55709,10426,25836
55708,10426,17194
55706,10426,22416
55705,10426,14262
55704,10426,34222
55703,10426,10923
55702,10426,23034
55701,10426,29355
55700,10426,13476
55699,10426,21090
55698,10426,21864
55697,10426,25376
55696,10426,38910
55695,10426,12835
55694,10426,20930
55693,10426,14875
55692,10426,7509
55707,10426,32498
55737,10426,36793
55673,10426,18810
822,110,23369
781,110,30633
789,110,4272
788,110,31008
787,110,18050
786,110,37450
785,110,16450
784,110,32048
804,110,11106
783,110,14244
782,110,24629
805,110,40228
791,110,23424
806,110,19248
807,110,5575
808,110,27911
809,110,29017
810,110,668
811,110,36789
812,110,32670
813,110,40172
790,110,18778
792,110,10807
815,110,15572
840,110,33608
833,110,14072
834,110,35983
835,110,14996
797,110,14680
836,110,19108
837,110,7886
838,110,10761
839,110,6886
800,110,22942
793,110,12232
841,110,39710
842,110,1586
801,110,31870
802,110,34186
803,110,40787
796,110,30063
795,110,5983
794,110,7201
814,110,29862
799,110,14103
798,110,27500
827,110,21731
816,110,25075
817,110,3090
818,110,39266
819,110,37779
824,110,29124
825,110,19254
826,110,36927
823,110,8194
828,110,27396
829,110,13845
821,110,13700
820,110,35188
832,110,36670
831,110,39520
830,110,24519
58033,10923,38289
58034,10923,22227
58032,10923,11861
58031,10923,1092
58040,10923,35015
58035,10923,4356
58036,10923,5534
58029,10923,35784
58038,10923,24895
58039,10923,36181
58045,10923,23000
58041,10923,36017
58042,10923,17483
58043,10923,37687
58044,10923,21521
58056,10923,33088
58046,10923,21803
58047,10923,15436
58048,10923,31056
58049,10923,33629
58050,10923,22784
58051,10923,22203
58052,10923,11707
58053,10923,40102
58054,10923,37626
58055,10923,27070
58057,10923,6759
58037,10923,23034
58058,10923,9084
58071,10923,26339
58069,10923,24199
58068,10923,2065
58067,10923,37778
58066,10923,27363
58065,10923,34623
58064,10923,36727
58063,10923,29789
58028,10923,11618
58062,10923,23613
58061,10923,25836
58060,10923,40143
58059,10923,27523
58070,10923,20259
58027,10923,28017
58026,10923,13476
58025,10923,14392
58024,10923,15722
58023,10923,25955
58022,10923,29942
58021,10923,34987
58018,10923,25857
58017,10923,15996
58020,10923,24519
58019,10923,31217
58016,10923,36670
58030,10923,24765
59792,11331,16953
59798,11331,38289
59791,11331,34990
59794,11331,34599
59790,11331,4678
59789,11331,19927
59788,11331,18749
59787,11331,12941
59786,11331,21508
59785,11331,34987
59784,11331,37971
59780,11331,23241
59783,11331,16130
59782,11331,35544
59793,11331,37269
59833,11331,30545
59795,11331,29355
59796,11331,28039
59820,11331,37763
59821,11331,22597
59822,11331,25588
59823,11331,31540
59824,11331,15789
59825,11331,12872
59826,11331,1092
59827,11331,29407
59828,11331,35280
59829,11331,20913
59830,11331,24465
59831,11331,14356
59832,11331,24513
59799,11331,33186
59797,11331,37914
59819,11331,32419
59808,11331,6789
59809,11331,32692
59818,11331,40102
59781,11331,30468
59810,11331,17698
59811,11331,41454
59812,11331,23519
59813,11331,14700
59814,11331,34819
59815,11331,37294
59816,11331,32389
59817,11331,2600
59806,11331,27702
59801,11331,32825
59800,11331,33963
59802,11331,16840
59803,11331,25857
59804,11331,18444
59805,11331,41207
59807,11331,3202
83276,17205,21552
83281,17205,22018
83280,17205,36898
83279,17205,38083
83278,17205,16699
83277,17205,22864
83275,17205,19666
83283,17205,40906
83274,17205,30767
83273,17205,29901
83272,17205,30899
83271,17205,22179
83270,17205,27225
83269,17205,20342
83267,17205,34749
83266,17205,32271
83265,17205,18950
83264,17205,25281
83263,17205,24025
83282,17205,37207
83268,17205,19063
83284,17205,10961
83260,17205,33829
83301,17205,30326
83300,17205,18921
83299,17205,41224
83298,17205,28887
